Artist,Title,Label
Justin Bieber,Love Yourself,1
Justin Bieber,Sorry,1
twenty one pilots,Stressed Out,1
Adele,Hello,1
Rihanna,Needed Me,1
twenty one pilots,Ride,1
Shawn Mendes,Stitches,1
Drake,Hotline Bling,1
Adele,Send My Love (To Your New Lover),1
Justin Bieber,What Do You Mean?,1
The Weeknd,The Hills,1
P!nk,Just Like Fire,1
Ariana Grande,Dangerous Woman,1
Drake,Controlla,1
Meghan Trainor,No,1
Ariana Grande,Into You,1
The Weeknd,In The Night,1
Meghan Trainor,Me Too,1
Post Malone,White Iverson,1
The Weeknd,Can't Feel My Face,1
Coldplay,Hymn For The Weekend,1
Travis Scott,Antidote,1
Taylor Swift,Wildest Dreams,1
Adele,When We Were Young,1
Chris Brown,Back To Sleep,1
Coldplay,Adventure Of A Lifetime,1
Future,Wicked,1
Ed Sheeran,Thinking Out Loud,1
Fetty Wap,Trap Queen,1
Maroon 5,Sugar,1
Taylor Swift,Blank Space,1
The Weeknd,Earned It (Fifty Shades Of Grey),1
Taylor Swift,Shake It Off,1
Meghan Trainor,Lips Are Movin,1
Sam Smith,I'm Not The Only One,1
Meghan Trainor,All About That Bass,1
Taylor Swift,Style,1
Ed Sheeran,Photograph,1
Maroon 5,Animals,1
Rihanna,B**** Better Have My Money,1
Sam Smith,Stay With Me,1
Beyonce,7/11,1
One Direction,Drag Me Down,1
Ariana Grande,One Last Time,1
Meghan Trainor,Dear Future Husband,1
Sam Smith,Lay Me Down,1
Ed Sheeran,Don't,1
One Direction,Night Changes,1
Drake,Back To Back,1
Pharrell Williams,Happy,1
Imagine Dragons,Demons,1
One Direction,Story Of My Life,1
Maroon 5,Maps,1
Nicki Minaj,Anaconda,1
Miley Cyrus,Wrecking Ball,1
Justin Timberlake,Not A Bad Thing,1
Katy Perry,Roar,1
Coldplay,A Sky Full Of Stars,1
Ed Sheeran,Sing,1
Imagine Dragons,Radioactive,1
Katy Perry,Birthday,1
Beyonce,Partition,1
Drake,0 To 100 / The Catch Up,1
Justin Timberlake,Mirrors,1
Bruno Mars,When I Was Your Man,1
Bruno Mars,Locked Out Of Heaven,1
Taylor Swift,I Knew You Were Trouble.,1
Miley Cyrus,We Can't Stop,1
Rihanna,Diamonds,1
Bruno Mars,Treasure,1
Drake,Started From The Bottom,1
Maroon 5,Daylight,1
Lady Gaga,Applause,1
Maroon 5,One More Night,1
Imagine Dragons,It's Time,1
Maroon 5,Love Somebody,1
P!nk,Try,1
Ke$ha,Die Young,1
Eminem,Berzerk,1
Rihanna,Pour It Up,1
Taylor Swift,22,1
One Direction,Best Song Ever,1
Ed Sheeran,The A Team,1
Kendrick Lamar,Swimming Pools (Drank),1
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),1
Nicki Minaj,Starships,1
One Direction,What Makes You Beautiful,1
Adele,Set Fire To The Rain,1
LMFAO,Sexy And I Know It,1
Katy Perry,Wide Awake,1
Rihanna,Where Have You Been,1
Bruno Mars,It Will Rain,1
Justin Bieber,Boyfriend,1
Katy Perry,Part Of Me,1
Taylor Swift,We Are Never Ever Getting Back Together,1
P!nk,Blow Me (One Last Kiss),1
Katy Perry,The One That Got Away,1
Adele,Someone Like You,1
Usher,Scream,1
Chris Brown,Don't Wake Me Up,1
Adele,Rumour Has It,1
Carrie Underwood,Good Girl,1
Coldplay,Paradise,1
Carrie Underwood,Blown Away,1
Adele,Rolling In The Deep,1
Usher,Climax,1
Nicki Minaj,Pound The Alarm,1
Chris Brown,Turn Up The Music,1
Rihanna,You Da One,1
Katy Perry,Firework,1
Bruno Mars,Grenade,1
Nicki Minaj,Super Bass,1
The Black Eyed Peas,Just Can't Get Enough,1
Rihanna,S&M,1
Katy Perry,Last Friday Night (T.G.I.F.),1
Bruno Mars,Just The Way You Are,1
P!nk,Raise Your Glass,1
Lady Gaga,Born This Way,1
P!nk,F**kin' Perfect,1
Lil Wayne,How To Love,1
Bruno Mars,The Lazy Song,1
Britney Spears,Till The World Ends,1
Lady Gaga,The Edge Of Glory,1
Ke$ha,We R Who We R,1
Ke$ha,Blow,1
The Black Eyed Peas,The Time (Dirty Bit),1
Rihanna,Only Girl (In The World),1
Britney Spears,I Wanna Go,1
Chris Brown,Yeah 3X,1
Kanye West,All Of The Lights,1
Britney Spears,Hold It Against Me,1
Usher,More,1
Avril Lavigne,What The Hell,1
Lady Gaga,You And I,1
Taylor Swift,Back To December,1
Katy Perry,Teenage Dream,1
Rihanna,Cheers (Drink To That),1
Drake,Headlines,1
Beyonce,Best Thing I Never Had,1
Chris Brown,She Ain't You,1
Ke$ha,TiK ToK,1
Lady Gaga,Bad Romance,1
Rihanna,Rude Boy,1
The Black Eyed Peas,Imma Be,1
Eminem,Not Afraid,1
Ke$ha,Your Love Is My Drug,1
The Black Eyed Peas,I Gotta Feeling,1
Drake,Find Your Love,1
Lady Gaga,Alejandro,1
Taylor Swift,Mine,1
Taylor Swift,You Belong With Me,1
The Black Eyed Peas,Meet Me Halfway,1
Ke$ha,Take It Off,1
Drake,Over,1
Maroon 5,Misery,1
Lady Gaga,Paparazzi,1
Nicki Minaj,Your Love,1
Miley Cyrus,Party In The U.S.A.,1
Britney Spears,3,1
The Black Eyed Peas,Rock That Body,1
Alicia Keys,Un-Thinkable (I'm Ready),1
Usher,There Goes My Baby,1
Taylor Swift,Today Was A Fairytale,1
Beyonce,Sweet Dreams,1
Carrie Underwood,Undo It,1
Daughtry,Life After You,1
Alicia Keys,Try Sleeping With A Broken Heart,1
The Black Eyed Peas,Boom Boom Pow,1
Lady Gaga,Poker Face,1
Taylor Swift,Love Story,1
Beyonce,Single Ladies (Put A Ring On It),1
The Fray,You Found Me,1
Miley Cyrus,The Climb,1
Drake,Best I Ever Had,1
Beyonce,Halo,1
Katy Perry,Hot N Cold,1
Britney Spears,Circus,1
Lady Gaga,LoveGame,1
Katy Perry,Waking Up In Vegas,1
P!nk,Sober,1
Britney Spears,Womanizer,1
T.I.,Whatever You Like,1
Ne-Yo,Mad,1
Kanye West,Love Lockdown,1
P!nk,So What,1
Beyonce,If I Were A Boy,1
The Pussycat Dolls,I Hate This Part,1
Nickelback,Gotta Be Somebody,1
P!nk,Please Don't Leave Me,1
Coldplay,Viva La Vida,1
Akon,Right Now (Na Na Na),1
Jordin Sparks,Battlefield,1
Ne-Yo,Miss Independent,1
Daughtry,No Surprise,1
Nickelback,If Today Was Your Last Day,1
Britney Spears,If U Seek Amy,1
Taylor Swift,White Horse,1
Rihanna,Disturbia,1
Beyonce,Diva,1
Justin Bieber,One Time,1
The Fray,Never Say Never,1
Leona Lewis,Bleeding Love,1
Alicia Keys,No One,1
Chris Brown,With You,1
Chris Brown,Forever,1
Rihanna,Take A Bow,1
Katy Perry,I Kissed A Girl,1
Rihanna,Don't Stop The Music,1
Ne-Yo,Closer,1
Fergie,Clumsy,1
Jordin Sparks,Tattoo,1
Miley Cyrus,See You Again,1
Taylor Swift,Our Song,1
Lil Wayne,A Milli,1
Alicia Keys,Like You'll Never See Me Again,1
Taylor Swift,Teardrops On My Guitar,1
The Pussycat Dolls,When I Grow Up,1
Leona Lewis,Better In Time,1
Jordin Sparks,One Step At A Time,1
Jonas Brothers,Burnin' Up,1
Fergie,Big Girls Don't Cry,1
Mary J. Blige,Just Fine,1
Britney Spears,Piece Of Me,1
Miley Cyrus,7 Things,1
Daughtry,Feels Like Tonight,1
Beyonce,Irreplaceable,1
Carrie Underwood,Before He Cheats,1
Akon,Don't Matter,1
Avril Lavigne,Girlfriend,1
Maroon 5,Makes Me Wonder,1
Daughtry,It's Not Over,1
Fergie,Fergalicious,1
Justin Timberlake,What Goes Around...Comes Around,1
The Fray,How To Save A Life,1
Daughtry,Home,1
Kanye West,Stronger,1
P!nk,U + Ur Hand,1
Nickelback,Rockstar,1
Justin Timberlake,Summer Love,1
Nickelback,If Everyone Cared,1
Ne-Yo,Because Of You,1
Justin Timberlake,SexyBack,1
Avril Lavigne,Keep Holding On,1
P!nk,Who Knew,1
T.I.,Big Things Poppin' (Do It),1
Gwen Stefani,Wind It Up,1
Rihanna,Shut Up And Drive,1
Nickelback,Far Away,1
Justin Timberlake,LoveStoned,1
Sean Paul,Temperature,1
Mary J. Blige,Be Without You,1
The Fray,Over My Head (Cable Car),1
Chris Brown,Run It!,1
Ne-Yo,So Sick,1
Rihanna,SOS,1
Fergie,London Bridge,1
Rascal Flatts,What Hurts The Most,1
Rihanna,Unfaithful,1
The Pussycat Dolls,Stickwitu,1
The Black Eyed Peas,My Humps,1
Chris Brown,Yo (Excuse Me Miss),1
T.I.,What You Know,1
Nickelback,Savin' Me,1
Ne-Yo,Sexy Love,1
Rascal Flatts,Life Is A Highway,1
Carrie Underwood,"Jesus, Take The Wheel",1
Sean Paul,We Be Burnin',1
Chris Brown,Say Goodbye,1
The Black Eyed Peas,Pump It,1
Eminem,When I'm Gone,1
Ne-Yo,When You're Mad,1
T.I.,Why You Wanna,1
P!nk,Stupid Girls,1
T-Pain,I'm Sprung,1
